default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,statuses_count,verified,average_tweets_per_day,account_age_days,follower_friend_ratio,tweets_per_follower,profile_completeness,description_has_url,name_has_numbers,account_type_encoded
1,0,199.0,2,0.0,0,29,0,0.014201762977473,2042,2.0,9.666666666666666,0.5,1,1,0
0,0,342.0,1491,158.0,1,4339,0,1.0064950127580607,4311,9.37735849056604,2.908176943699732,1.0,0,0,1
1,0,772.0,65,114.0,0,1281,0,1.6507731958762886,776,0.5652173913043478,19.40909090909091,0.5,0,0,1
0,0,21654.5,7235,2174.5,1,40853,0,13.066813538490877,3597,3.325672259250747,5.645798783858486,1.0,0,0,1
0,0,2492.0,16,0.0,0,3418,0,1.0348168331819558,3303,16.0,201.05882352941177,0.75,0,0,0
1,0,564.0,24,57.0,1,741,0,0.2448777263714474,3026,0.4137931034482758,29.64,0.5,0,1,0
1,0,1047.0,13,106.0,0,241,0,0.1434523809523809,1680,0.1214953271028037,17.214285714285715,0.5,0,1,1
0,0,2317.0,18,0.0,0,3204,0,0.9861495844875346,3249,18.0,168.6315789473684,0.75,0,1,0
0,0,21654.5,13281,1858.0,0,40853,0,12.413236297475551,4397,7.144163528778914,3.075816895045927,0.75,0,0,1
0,0,1497.0,21010,2174.5,1,4616,1,1.538153948683772,3001,9.65754998850839,0.2196944457665032,1.0,1,0,1
0,0,2152.0,7,27.0,0,3072,0,1.041709053916582,2949,0.25,384.0,0.5,0,0,0
0,0,71.0,4476,568.0,1,52,0,0.0155781905332534,3338,7.8664323374340945,0.0116149207058297,0.75,0,0,0
0,0,3069.0,1064,172.0,1,40853,0,13.066813538490877,2872,6.1502890173410405,38.35962441314554,1.0,0,0,0
1,0,21.0,31,4.0,0,3547,0,2.189506172839506,1620,6.2,110.84375,0.5,0,0,0
1,0,1202.0,13,392.0,0,1755,0,1.1079545454545454,1584,0.0330788804071246,125.35714285714286,0.25,0,1,0
0,0,16665.0,21010,2174.5,1,40853,1,13.066813538490877,5158,9.65754998850839,1.944362476797868,1.0,0,0,1
1,0,2479.0,47,166.0,0,3073,0,0.7273372781065088,4225,0.281437125748503,64.02083333333333,0.25,0,1,0
1,0,87.0,1,0.0,0,413,0,0.356341673856773,1159,1.0,206.5,0.5,0,1,0
1,0,942.0,21,46.0,0,366,0,0.2361290322580645,1550,0.4468085106382978,16.636363636363637,0.25,0,1,0
1,0,1301.0,56,25.0,0,1826,0,1.380196523053666,1323,2.1538461538461537,32.03508771929825,0.25,0,1,1
0,0,250.0,21010,0.0,0,4857,0,1.627680965147453,2984,21010.0,0.2311646280519727,0.75,0,0,1
0,0,15985.0,13893,1506.0,1,21759,1,5.37126635398667,4051,9.218978102189782,1.566071685619692,1.0,0,0,1
0,0,4019.0,110,1112.0,0,508,0,0.1243574051407588,4085,0.0988319856244384,4.576576576576577,0.75,0,0,1
0,0,18353.0,1077,2043.0,1,785,0,0.2023717452951791,3879,0.526908023483366,0.7282003710575139,1.0,0,0,1
0,0,1861.0,356,2174.5,1,2611,0,1.168755595344673,2234,0.163640542404045,7.313725490196078,0.75,0,1,0
0,0,607.0,21010,2174.5,1,38105,1,9.24878640776699,4120,9.65754998850839,1.8135738422730951,1.0,0,0,1
0,0,6464.0,21010,576.0,0,40853,1,13.066813538490877,4148,36.41247833622184,1.944362476797868,0.75,0,0,1
1,0,13883.0,171,1049.0,1,10757,0,2.5752932726837443,4177,0.1628571428571428,62.5406976744186,0.5,0,1,1
0,0,8888.0,21010,183.0,1,6911,1,2.222901254422644,3109,114.18478260869566,0.3289229451239827,1.0,0,0,1
1,0,3544.0,25,45.0,0,3646,0,2.083428571428572,1750,0.5434782608695652,140.23076923076923,0.5,0,0,0
1,0,160.0,26,131.0,0,152,0,0.130248500428449,1167,0.1969696969696969,5.62962962962963,0.5,0,1,1
0,0,17028.0,407,186.0,0,6880,0,5.951557093425605,1156,2.176470588235294,16.862745098039216,0.75,0,0,0
1,0,7338.0,21010,885.0,0,14173,1,4.164854540111667,3403,23.71331828442438,0.6745514254438152,0.5,0,1,1
1,0,21654.5,446,807.0,1,40853,0,13.066813538490877,4032,0.551980198019802,91.3937360178971,0.75,0,1,1
1,0,231.0,21010,297.0,1,8028,0,2.324261725535611,3454,70.50335570469798,0.382085574223026,0.75,0,0,1
0,0,1476.0,21010,385.0,0,28586,1,6.501250852854219,4397,54.4300518134715,1.3605254390557326,0.75,0,0,1
0,0,2.0,21010,1.0,0,1070,1,0.2788636955955173,3837,10505.0,0.0509257055827899,0.75,0,0,1
0,0,1115.0,21010,2174.5,0,40853,1,13.066813538490877,4215,9.65754998850839,1.944362476797868,0.75,1,0,0
1,0,2747.0,223,624.0,0,5447,0,1.337671905697446,4072,0.3568,24.316964285714285,0.5,0,0,0
1,0,21654.5,492,856.0,1,40853,0,13.066813538490877,2673,0.574095682613769,82.86612576064908,0.75,0,0,1
0,0,21654.5,21010,924.0,1,40853,1,13.066813538490877,5151,22.713513513513515,1.944362476797868,1.0,0,0,1
1,0,343.0,3,0.0,0,557,0,0.1342492166787177,4149,3.0,139.25,0.25,0,1,0
0,0,148.0,21010,85.0,1,8563,0,2.746311738293778,3118,244.3023255813953,0.407548427014421,0.75,0,0,1
0,0,8536.0,152,659.0,0,4124,0,1.430454387790496,2883,0.2303030303030303,26.954248366013072,0.75,0,0,1
0,0,11.0,56,0.0,1,256,0,0.0770620108368452,3322,56.0,4.491228070175438,1.0,0,0,1
0,0,12742.0,21010,2174.5,1,15949,1,4.205959915611814,3792,9.65754998850839,0.7590785778877731,1.0,0,0,1
1,0,12587.0,21010,2174.5,1,40853,1,11.36695334897055,3837,9.65754998850839,1.944362476797868,0.75,1,0,1
0,0,1864.0,96,267.0,0,3565,0,0.9266961268520926,3847,0.3582089552238806,36.75257731958763,0.75,0,0,1
0,0,1701.0,21010,302.0,1,7196,1,2.4960110995490807,2883,69.33993399339934,0.3424872685736043,1.0,0,0,1
0,0,20877.0,8,265.0,0,807,0,0.2341845618107951,3446,0.0300751879699248,89.66666666666667,0.75,0,1,0
0,0,2526.0,7,330.0,1,3160,0,0.8366428382314006,3777,0.0211480362537764,395.0,1.0,0,0,0
0,0,13644.0,792,290.0,1,18679,0,7.279423226812159,2566,2.7216494845360826,23.55485498108449,0.75,0,0,1
0,0,7386.0,306,446.0,1,24894,0,6.157308929013109,4043,0.6845637583892618,81.08794788273616,1.0,0,0,1
0,0,601.0,21010,104.0,0,15912,1,4.137285491419656,3846,200.0952380952381,0.7573175955451906,0.75,0,0,1
0,0,3489.0,71,312.0,0,1873,0,0.85720823798627,2185,0.2268370607028754,26.01388888888889,0.75,0,0,1
